character1,character2,result
executive,elderly man,1
executive,elderly woman,1
executive,elderly woman,0
executive,boy,1
executive,boy,0
female doctor,woman,1
female doctor,woman,1
female doctor,woman,0
female doctor,girl,0
female doctor,large woman,1
female doctor,criminal,0
female doctor,criminal,1
female doctor,criminal,0
female doctor,criminal,0
female doctor,female executive,0
female doctor,female executive,0
female doctor,boy,0
female doctor,large man,1
male doctor,male executive,1
male doctor,criminal,1
male doctor,criminal,1
male doctor,criminal,0
male doctor,boy,0
male doctor,boy,1
male doctor,boy,1
woman,girl,0
woman,girl,1
woman,elderly woman,0
woman,criminal,1
woman,criminal,0
girl,homeless person,1
girl,elderly woman,0
girl,criminal,1
girl,criminal,0
girl,criminal,1
girl,criminal,0
girl,criminal,1
girl,criminal,1
girl,female executive,1
girl,female executive,0
girl,large man,1
homeless person,criminal,0
homeless person,boy,0
homeless person,boy,1
homeless person,boy,0
homeless person,boy,0
male executive,elderly man,1
male executive,boy,0
male executive,boy,0
male executive,boy,1
male executive,boy,0
elderly man,criminal,1
elderly man,criminal,0
elderly man,criminal,1
elderly man,criminal,0
elderly man,criminal,1
elderly man,boy,0
elderly man,boy,1
elderly man,boy,0
elderly man,boy,0
man,criminal,1
man,criminal,1
man,boy,1
man,boy,0
man,boy,1
man,boy,1
man,boy,1
elderly woman,criminal,0
elderly woman,criminal,0
elderly woman,criminal,1
elderly woman,criminal,0
elderly woman,female executive,1
elderly woman,boy,0
elderly woman,boy,1
elderly woman,boy,1
large woman,boy,0
large woman,boy,1
large woman,boy,1
large woman,boy,0
criminal,boy,0
criminal,boy,1
criminal,boy,0
criminal,boy,1
criminal,boy,1
criminal,boy,0
criminal,boy,0
female executive,boy,1
female executive,boy,0
boy,male athlete,1
boy,male athlete,0
boy,male athlete,0
boy,male athlete,0
boy,large man,1
boy,large man,1
boy,large man,0
boy,large man,1
