character1,character2,result
executive,female doctor,1
executive,woman,1
executive,girl,0
executive,boy,1
executive,boy,0
executive,boy,1
executive,boy,0
female athlete,female doctor,0
female doctor,woman,0
female doctor,criminal,1
female doctor,criminal,0
female doctor,criminal,1
female doctor,criminal,0
female doctor,female executive,1
female doctor,boy,0
female doctor,boy,0
female doctor,large man,1
male doctor,elderly woman,1
male doctor,criminal,1
male doctor,boy,0
male doctor,boy,0
male doctor,boy,1
male doctor,boy,1
male doctor,large man,0
woman,girl,0
woman,girl,1
woman,elderly woman,1
woman,criminal,0
woman,criminal,1
woman,boy,1
girl,homeless person,1
girl,elderly man,0
girl,elderly man,0
girl,elderly woman,1
girl,criminal,0
girl,criminal,1
girl,criminal,1
girl,criminal,1
girl,criminal,0
girl,criminal,0
girl,criminal,0
girl,female executive,0
girl,female executive,1
girl,large man,0
homeless person,criminal,1
homeless person,boy,1
homeless person,boy,0
homeless person,boy,1
homeless person,boy,0
male executive,elderly man,0
male executive,elderly man,1
male executive,elderly man,1
male executive,boy,0
male executive,boy,0
male executive,boy,0
male executive,boy,1
elderly man,criminal,0
elderly man,criminal,0
elderly man,criminal,1
elderly man,boy,0
elderly man,boy,0
elderly man,boy,0
elderly man,boy,1
man,criminal,1
man,criminal,0
man,boy,1
man,boy,0
elderly woman,criminal,1
elderly woman,criminal,0
elderly woman,criminal,0
elderly woman,criminal,1
elderly woman,boy,0
elderly woman,boy,0
elderly woman,boy,1
elderly woman,boy,1
large woman,boy,1
large woman,boy,0
large woman,boy,1
criminal,female executive,1
criminal,boy,1
criminal,boy,0
criminal,boy,1
criminal,boy,0
criminal,large man,1
criminal,large man,1
female executive,boy,1
boy,male athlete,0
boy,male athlete,1
boy,male athlete,0
boy,male athlete,0
boy,male athlete,0
boy,large man,0
boy,large man,0
boy,large man,1
