character1,character2,result
executive,female doctor,0
executive,female doctor,0
executive,female doctor,0
executive,female doctor,1
executive,male doctor,0
executive,male doctor,1
executive,male doctor,0
executive,woman,0
executive,woman,0
executive,girl,0
executive,girl,1
executive,elderly man,0
executive,elderly man,0
executive,elderly man,1
executive,elderly man,0
executive,elderly woman,0
executive,elderly woman,1
executive,boy,1
executive,boy,0
female athlete,female doctor,1
female athlete,elderly woman,0
female athlete,criminal,1
female athlete,criminal,1
female doctor,woman,1
female doctor,girl,1
female doctor,homeless person,0
female doctor,homeless person,1
female doctor,male executive,0
female doctor,elderly man,0
female doctor,elderly man,1
female doctor,elderly woman,0
female doctor,elderly woman,1
female doctor,criminal,0
female doctor,criminal,1
female doctor,criminal,0
female doctor,female executive,0
female doctor,boy,0
female doctor,male athlete,0
female doctor,male athlete,1
female doctor,large man,1
female doctor,large man,0
male doctor,homeless person,0
male doctor,male executive,0
male doctor,male executive,1
male doctor,elderly man,1
male doctor,elderly man,0
male doctor,elderly man,0
male doctor,man,0
male doctor,elderly woman,1
male doctor,elderly woman,0
male doctor,criminal,0
male doctor,criminal,1
male doctor,criminal,0
male doctor,criminal,0
male doctor,boy,1
male doctor,male athlete,1
male doctor,large man,0
male doctor,large man,1
male doctor,large man,0
woman,girl,1
woman,elderly man,0
woman,elderly man,1
woman,elderly woman,0
woman,criminal,1
woman,criminal,0
girl,criminal,0
girl,criminal,1
girl,criminal,1
girl,criminal,0
girl,female executive,0
girl,large man,0
homeless person,male executive,1
homeless person,elderly man,0
homeless person,elderly man,0
homeless person,boy,1
homeless person,boy,0
homeless person,boy,0
homeless person,boy,0
homeless person,male athlete,1
male executive,elderly man,0
male executive,elderly man,0
male executive,elderly man,1
male executive,elderly man,1
male executive,elderly woman,1
male executive,elderly woman,1
male executive,elderly woman,1
male executive,elderly woman,1
male executive,elderly woman,1
male executive,elderly woman,1
male executive,boy,1
male executive,boy,1
male executive,boy,0
male executive,boy,1
elderly man,criminal,0
elderly man,criminal,1
elderly man,criminal,1
elderly man,criminal,0
elderly man,boy,0
elderly man,male athlete,0
man,elderly woman,1
man,elderly woman,1
man,elderly woman,1
man,elderly woman,0
man,boy,0
man,boy,1
elderly woman,criminal,0
elderly woman,criminal,0
elderly woman,criminal,1
elderly woman,criminal,0
elderly woman,criminal,0
elderly woman,criminal,0
elderly woman,boy,1
elderly woman,boy,0
elderly woman,male athlete,0
elderly woman,male athlete,0
elderly woman,large man,0
large woman,boy,0
criminal,boy,1
criminal,boy,0
criminal,boy,1
criminal,boy,0
criminal,boy,0
boy,male athlete,0
boy,male athlete,1
boy,large man,1
boy,large man,0
boy,large man,0
