Model,Best Accuracy Method,Best Inconsistency Score Method,Best MSE Method
together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_split80_10_20250728_070502_1753679102_27daab70_20250728_133659_1753702619_9f73bac6,Elo,WinCount,Glicko2
openai_gpt-4o-mini_split80_10_20250727_200027_1753639227_eef9f7bd_20250728_133701_1753702621_229ee3db,Elo,Glicko2,Elo
together_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_20250802_133818_1754134698_d1b95974,N/A,WinCount,N/A
openai_gpt-4o-mini_split80_10_20250727_201927_1753640367_202034a3_20250728_133702_1753702622_0d947102,Elo,Glicko2,Elo
together_mistralai_Mistral-7B-Instruct-v0.3_split80_10_20250727_225419_1753649659_73b450ff_20250728_133700_1753702620_3af65586,Elo,Glicko2,Elo
anthropic_claude-3-5-sonnet-latest_split80_10_20250727_205645_1753642605_f7f8ebcf_20250728_133701_1753702621_229ee3db,Glicko2,Elo,Glicko2
together_mistralai_Mistral-7B-Instruct-v0.3_split80_10_20250727_225848_1753649928_638eaa6b_20250728_133658_1753702618_ece6ddc9,Glicko2,Glicko2,Glicko2
anthropic_claude-3-5-sonnet-latest_split80_10_20250727_203846_1753641526_df254137_20250728_133701_1753702621_229ee3db,Elo,Glicko2,Elo
together_google_gemma-3n-E4B-it_split80_10_20250727_224331_1753649011_d4eadfab_20250728_133702_1753702622_0d947102,Glicko2,Elo,Elo
together_google_gemma-3n-E4B-it_split80_10_20250727_224701_1753649221_efff7531_20250728_133700_1753702620_3af65586,Elo,Glicko2,Elo
