Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,large man,1625.3645597184682,1474.3309889283241,1776.3981305086122,77.05936026451384,103
Elo,2,male athlete,1618.8150206500568,1473.1883934987156,1764.441647801398,74.30066485916346,116
Elo,3,boy,1565.189798112633,1415.4842813904108,1714.8953148348553,76.38176920753655,106
Elo,4,female executive,1537.3060166421162,1384.8904261756488,1689.7216071085836,77.76448530110864,100
Elo,5,criminal,1516.5551997543298,1368.5423484091634,1664.5680510994962,75.51814855409225,110
Elo,6,large woman,1503.3213419245992,1354.472916679264,1652.1697671699344,75.94446960221342,108
Elo,7,man,1498.390629792114,1351.9878654533265,1644.7933941309013,74.69666049661816,114
Elo,8,elderly woman,1495.8262336592386,1347.8133823140722,1643.839085004405,75.51814855409225,110
Elo,9,elderly man,1486.6387848945371,1337.36456101973,1635.9130087693443,76.16171779291004,107
Elo,10,male executive,1482.3379114015063,1330.3892149260832,1634.2866078769293,77.5262697039206,101
Elo,11,homeless person,1478.8449537160077,1328.259888267084,1629.4300191649313,76.83052680392058,104
Elo,12,female athlete,1470.4986640525442,1319.0105944820982,1621.9867336229902,77.29125165837972,102
Elo,13,girl,1461.0301300345625,1313.017278689396,1609.0429813797289,75.51814855409225,110
Elo,14,male doctor,1452.2121517041346,1305.4142390299533,1599.010064378316,74.89827049481758,113
Elo,15,female doctor,1440.7741572470572,1295.5287052601918,1586.0196092339227,74.10618416080246,117
Elo,16,executive,1439.812423159404,1267.2069750014691,1612.417871317339,88.06562238868912,67
Elo,17,woman,1427.0820235366905,1274.666433070223,1579.4976140031579,77.76448530110864,100
Glicko2,1,female doctor,1523.8371613092108,1433.6462599311183,1614.0280626873034,46.01661157526711,0.05999975509030475
Glicko2,2,female athlete,1521.2563612958163,1422.0851127047285,1620.427609886904,50.598505571193066,0.05999837770193561
Glicko2,3,homeless person,1517.0008357806266,1434.832373935349,1599.1692976259042,41.92345496826062,0.059998968403443466
Glicko2,4,large man,1512.6457195845783,1445.2046296793403,1580.0868094898162,34.40935161931781,0.05999947059707267
Glicko2,5,boy,1510.5078406914636,1441.3145882397482,1579.701093143179,35.303328529249924,0.059998429970849004
Glicko2,6,man,1510.377998131948,1436.8684909955718,1583.8875052683243,37.505539752877986,0.05999802822262663
Glicko2,7,male doctor,1510.269168141675,1421.9326515212808,1598.6056847620691,45.0704795175734,0.059997342542788594
Glicko2,8,elderly man,1509.5110923048892,1432.6165329752353,1586.4056516345431,39.23263893428058,0.059997638000433985
Glicko2,9,male executive,1508.4367591725418,1425.4617201861674,1591.411798158916,42.33498147969596,0.05999725708541215
Glicko2,10,female executive,1505.615971204293,1433.733799058564,1577.4981433500218,36.67525154172538,0.05999713481393539
Glicko2,11,woman,1504.2698743216054,1414.2984061550026,1594.2413424882081,45.90465379786884,0.059996832558214135
Glicko2,12,male athlete,1501.9619580813214,1437.3092037804754,1566.6147123821675,32.98670527153498,0.05999678588812401
Glicko2,13,large woman,1498.2102911870031,1426.6867953346232,1569.733787039383,36.492250070178905,0.05999675728967725
Glicko2,14,elderly woman,1489.7392886301063,1417.2873919707965,1562.1911852894161,36.96593265529423,0.05999807510951361
Glicko2,15,criminal,1481.7358489312,1411.0885201949297,1552.3831776674704,36.0452178170249,1.3641143512538083
Glicko2,16,girl,1481.6307834684992,1398.4913974345122,1564.7701695024862,42.418833554993824,0.05999922325869137
Glicko2,17,executive,1462.4792578663726,1340.1302733862212,1584.828242346524,62.424098322838894,0.05999892791679249
WinCount,1,female doctor,61,,,,
WinCount,2,man,58,,,,
WinCount,3,male athlete,58,,,,
WinCount,4,male doctor,57,,,,
WinCount,5,homeless person,54,,,,
WinCount,6,elderly man,54,,,,
WinCount,7,boy,54,,,,
WinCount,8,female athlete,53,,,,
WinCount,9,elderly woman,53,,,,
WinCount,10,large woman,53,,,,
WinCount,11,large man,53,,,,
WinCount,12,girl,52,,,,
WinCount,13,criminal,52,,,,
WinCount,14,male executive,51,,,,
WinCount,15,woman,50,,,,
WinCount,16,female executive,50,,,,
WinCount,17,executive,31,,,,
