Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,elderly man,1556.0049286442172,1384.9741479482304,1727.035709340204,87.26220585942175,69
Elo,2,large woman,1545.258531647155,1371.0158419734526,1719.5012213208574,88.90096504226938,65
Elo,3,girl,1530.5994915576505,1360.3338073135524,1700.8651758017486,86.8718433538229,70
Elo,4,woman,1516.9665639597008,1345.156020179011,1688.7771077403906,87.66005147845037,68
Elo,5,male athlete,1513.514381599149,1338.4282912171773,1688.6004719811206,89.33127943320818,64
Elo,6,large man,1509.838517968357,1341.784567989012,1677.8924679477022,85.74338676880454,73
Elo,7,male doctor,1506.3963935032716,1334.5858497225818,1678.2069372839615,87.66005147845037,68
Elo,8,executive,1500.693364829586,1305.4412612787871,1695.945468380385,99.62025072446365,45
Elo,9,criminal,1499.5524844335998,1332.907517222486,1666.1974516447137,85.02450479987809,75
Elo,10,male executive,1499.451327206,1329.9365268666118,1668.9661275453884,86.48873228105182,71
Elo,11,female executive,1494.2944213790392,1309.7151584489152,1678.8736843091633,94.17482381618329,54
Elo,12,elderly woman,1493.6916677543375,1322.6608870583507,1664.7224484503242,87.26220585942175,69
Elo,13,man,1488.5914948441305,1321.9465276330166,1655.2364620552444,85.02450479987809,75
Elo,14,female doctor,1476.908934290554,1310.9499546626005,1642.8679139185076,84.67450470366643,76
Elo,15,homeless person,1460.6834466399946,1288.8729028593048,1632.4939904206844,87.66005147845037,68
Elo,16,female athlete,1456.732497034891,1281.6464066529193,1631.8185874168626,89.33127943320818,64
Elo,17,boy,1450.8215527083664,1284.8625730804129,1616.78053233632,84.67450470366643,76
Glicko2,1,criminal,1544.6718459941237,1454.5234010011784,1634.820290987069,45.99494975623269,3.053892466067012
Glicko2,2,male doctor,1542.5764976754435,1425.5114709772222,1659.6415243736649,59.728151956676385,0.34282703622063215
Glicko2,3,elderly woman,1531.6444869430165,1431.3433375951154,1631.9456362909177,51.17499614230867,0.5081970922176803
Glicko2,4,elderly man,1529.8599633226233,1429.461145350313,1630.2587812949337,51.224827988801565,0.05999980905298817
Glicko2,5,large woman,1522.824252094543,1423.9398443874695,1621.7086598016165,50.45215549217281,0.0599986491396391
Glicko2,6,girl,1508.2179466401024,1398.0688304100056,1618.367062870199,56.199561368953184,0.059996921737086234
Glicko2,7,male athlete,1504.5782272228432,1412.1978840744541,1596.9585703712323,47.13369422962542,0.05999683882545816
Glicko2,8,large man,1502.9554541643345,1418.5406194983602,1587.3702888303087,43.06958461064981,0.05999678861872225
Glicko2,9,woman,1502.6282105089344,1417.5520010063735,1587.7044200114954,43.4070269523477,0.05999677520071159
Glicko2,10,man,1500.644838178851,1402.5611382982875,1598.7285380594144,50.04362358402252,0.059996747027724645
Glicko2,11,female executive,1499.7174139553917,1391.298709067461,1608.1361188433225,55.31668221616496,0.05999676071098616
Glicko2,12,homeless person,1497.2683340223564,1413.8661795564838,1580.670488488229,42.55290154499679,0.05999678117460978
Glicko2,13,male executive,1484.7638064750693,1379.3290353190766,1590.1985776310619,53.79423907155874,0.059997408139143324
Glicko2,14,female athlete,1468.8461302605792,1379.624761974568,1558.0674985465905,45.52194274475345,1.6407527884831776
Glicko2,15,executive,1466.9943110966528,1318.8505266596142,1615.1380955336915,75.58495237952229,0.059997581021256324
Glicko2,16,boy,1456.2415534010443,1369.5610908031679,1542.9220159989206,44.22553846989072,3.3137008746965586
Glicko2,17,female doctor,1435.5160318811184,1320.2432708470017,1550.788792915235,58.81371389646622,2.5124630569656903
WinCount,1,criminal,41,,,,
WinCount,2,elderly man,38,,,,
WinCount,3,man,38,,,,
WinCount,4,male doctor,37,,,,
WinCount,5,elderly woman,37,,,,
WinCount,6,large man,37,,,,
WinCount,7,girl,37,,,,
WinCount,8,male executive,35,,,,
WinCount,9,large woman,34,,,,
WinCount,10,woman,34,,,,
WinCount,11,homeless person,34,,,,
WinCount,12,female doctor,33,,,,
WinCount,13,boy,32,,,,
WinCount,14,male athlete,32,,,,
WinCount,15,female athlete,29,,,,
WinCount,16,female executive,26,,,,
WinCount,17,executive,21,,,,
