Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,male executive,1576.8708573339948,1407.3560569946064,1746.385657673383,86.48873228105182,71
Elo,2,male athlete,1570.7179825237874,1401.9402881860333,1739.4956768615416,86.1126508798381,72
Elo,3,large man,1550.3707904749824,1376.9548001991866,1723.7867807507782,88.47917188462601,66
Elo,4,female doctor,1533.2777573898684,1371.8065936779672,1694.7489211017696,82.38476063109587,83
Elo,5,woman,1531.168208748955,1344.4195254561123,1717.9168920417978,95.28169127896865,52
Elo,6,female executive,1522.9279313880754,1343.3533627955376,1702.5024999806133,91.62136141735209,59
Elo,7,man,1515.0173206676066,1343.2067768869167,1686.8278644482964,87.66005147845037,68
Elo,8,criminal,1493.7318346068478,1320.3158443310517,1667.1478248826438,88.47917188462601,66
Elo,9,elderly man,1484.6466294155916,1307.8213259680056,1661.4719328631777,90.21864934374386,62
Elo,10,homeless person,1480.4132336365699,1313.768266425456,1647.0582008476838,85.02450479987809,75
Elo,11,executive,1478.6680774626375,1288.4607073467891,1668.8754475784858,97.0463598393541,49
Elo,12,female athlete,1477.9834100205805,1286.5639295139244,1669.4028905272367,97.66479487202247,48
Elo,13,boy,1477.1289692515531,1306.863285007455,1647.3946534956513,86.8718433538229,70
Elo,14,girl,1476.8651534009448,1286.6577832850965,1667.0725235167931,97.0463598393541,49
Elo,15,large woman,1464.2852453250691,1296.231295345724,1632.3391953044143,85.74338676880454,73
Elo,16,elderly woman,1437.5722254463974,1257.0410472227952,1618.1034036699996,92.10943652414491,58
Elo,17,male doctor,1428.3543729065377,1273.5051202761833,1583.203625536892,79.00617248673217,95
Glicko2,1,male executive,1561.3364846552154,1461.8326625210893,1660.8403067893414,50.768189068268335,3.5979981860338963
Glicko2,2,male athlete,1543.9426779728633,1454.3382884309824,1633.5470675147442,45.71736534378632,3.0348857175551927
Glicko2,3,elderly man,1525.0081633630878,1419.914956907658,1630.1013698185175,53.61996816492115,0.05999853596924555
Glicko2,4,large man,1520.6653167923937,1430.2136671200653,1611.116966464722,46.14964886385639,0.0599989785877204
Glicko2,5,woman,1516.7420367594248,1393.8888003375973,1639.5952731812522,62.68137444916242,0.059997203854812185
Glicko2,6,female executive,1506.6779736738347,1403.6874498656516,1609.6684974820178,52.547151182654005,0.0599968903187692
Glicko2,7,female doctor,1503.497907681707,1394.6044793085478,1612.391336054866,55.558892526646744,0.05999679134888463
Glicko2,8,boy,1493.4600973680176,1401.1068321206092,1585.813362615426,47.11987872015972,0.05999694416362326
Glicko2,9,criminal,1492.6995617207979,1391.5649221900417,1593.834201251554,51.60025404981584,0.05999692727947759
Glicko2,10,female athlete,1488.3973391750349,1384.696673909916,1592.0980044401538,52.909474910302684,0.059997158201321676
Glicko2,11,man,1487.9114694534326,1402.0816739965765,1573.7412649102887,43.79151664717852,0.05999767965943735
Glicko2,12,girl,1478.7725556130406,1380.9006618851517,1576.6444493409294,49.93555723466847,0.05999846146977711
Glicko2,13,homeless person,1475.8078325916542,1377.185002278487,1574.4306629048215,50.318695185774644,0.05999890693097263
Glicko2,14,elderly woman,1460.5231300429364,1369.9127931443836,1551.1334669414891,46.23061322211818,2.4829635404788073
Glicko2,15,male doctor,1450.0991966320605,1353.2134563531831,1546.984936910938,49.432408474390265,2.9059135752221397
Glicko2,16,executive,1449.2881925848485,1307.0490244256173,1591.5273607440797,72.57233769660851,0.05999891582141976
Glicko2,17,large woman,1430.8616515801239,1336.0916661128053,1525.6316370474424,48.35292189797976,4.717288472580207
WinCount,1,male doctor,43,,,,
WinCount,2,female doctor,42,,,,
WinCount,3,male executive,42,,,,
WinCount,4,male athlete,41,,,,
WinCount,5,homeless person,37,,,,
WinCount,6,large man,35,,,,
WinCount,7,boy,35,,,,
WinCount,8,elderly man,33,,,,
WinCount,9,criminal,33,,,,
WinCount,10,man,33,,,,
WinCount,11,large woman,31,,,,
WinCount,12,female executive,31,,,,
WinCount,13,woman,28,,,,
WinCount,14,elderly woman,26,,,,
WinCount,15,female athlete,23,,,,
WinCount,16,girl,23,,,,
WinCount,17,executive,22,,,,
