Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,man,1578.9589111483506,1266.8956543146473,1891.0221679820538,159.21887304828982,7
Elo,2,girl,1551.6240237987113,1281.2234446059194,1822.0246029915031,137.962014264383,14
Elo,3,male doctor,1545.2921603272864,1233.2289034935834,1857.3554171609894,159.21887304828982,7
Elo,4,male athlete,1533.8490541999358,1194.9673719729149,1872.7307364269568,172.9019945774904,4
Elo,5,elderly woman,1530.7372119064396,1250.491808751221,1810.9826150616582,142.98497593106737,12
Elo,6,female executive,1512.0073816692354,1199.9441248355324,1824.0706385029384,159.21887304828982,7
Elo,7,executive,1510.5171052184805,1181.4648244842529,1839.5693859527082,167.88690166235207,5
Elo,8,boy,1504.1801735494762,1311.516823304751,1696.8435237942015,98.29943395104671,47
Elo,9,large woman,1486.046890819537,1156.9946100853094,1815.0991715537648,167.88690166235207,5
Elo,10,woman,1478.7830986808947,1174.1315913992237,1783.4346059625657,155.43729868748773,8
Elo,11,criminal,1478.5670936522167,1266.0521646800444,1691.082022624389,108.42797655898931,34
Elo,12,male executive,1477.25916330031,1157.099737053563,1797.418589547057,163.34964763236658,6
Elo,13,elderly man,1468.1742060877932,1182.486968899854,1753.8614432757324,145.761472884912,11
Elo,14,female doctor,1456.6437913991049,1181.4813452917786,1731.8062375064312,140.39158284426273,13
Elo,15,homeless person,1444.4216249362664,1124.2621986895194,1764.5810511830134,163.34964763236658,6
Elo,16,large man,1442.938109305961,1122.778683059214,1763.097535552708,163.34964763236658,6
Glicko2,1,man,1744.8994003711784,1492.9472206543005,1996.8515800880564,128.54939259305002,1.4022968222825403
Glicko2,2,male athlete,1665.1489024215323,1353.463714340468,1976.8340905025966,159.02597728305082,0.059998025834469816
Glicko2,3,male doctor,1629.744399405824,1374.7467164170102,1884.7420823946377,130.10324934549962,0.059998213370747976
Glicko2,4,elderly woman,1582.778461803333,1322.9510502405897,1842.6058733660761,132.5674418572121,0.059997555551772726
Glicko2,5,girl,1580.7737246929007,1347.4350422005311,1814.1124071852703,119.05253582867608,0.05999768848006707
Glicko2,6,executive,1572.1294527480763,1192.809244935677,1951.4496605604756,193.53427450934237,0.0599977366170237
Glicko2,7,female executive,1558.8858223647544,1300.445048759325,1817.326595970184,131.8599605115081,0.05999735715885957
Glicko2,8,boy,1528.8541858133055,1392.3494654914032,1665.358906135208,69.64654524197083,0.059997614467072045
Glicko2,9,criminal,1476.0440210514944,1344.9633516722595,1607.1246904307293,66.8791214599771,0.05999745593263164
Glicko2,10,large woman,1445.9686265761914,1157.311247455422,1734.6260056969606,147.2768792680181,0.05999736904267684
Glicko2,11,male executive,1411.2366880064576,1139.8616802423408,1682.6116957705744,138.4591808342848,0.05999757354747085
Glicko2,12,female doctor,1393.6525146362762,1141.6786963532522,1645.6263329193002,128.56043288068625,0.05999789020749415
Glicko2,13,elderly man,1384.9718599400442,1110.7134833056323,1659.230236574456,139.93031443318705,0.05999780946673747
Glicko2,14,woman,1359.2279052141776,1080.3166761022217,1638.1391343261334,142.30426238031518,0.05999805738569924
Glicko2,15,homeless person,1319.0954057070896,1053.239641128595,1584.9511702855843,135.64318868894077,0.0599988994965056
Glicko2,16,large man,1307.0965093363486,1037.9258631342716,1576.2671555384256,137.3344859014047,0.059999036962228934
