Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,large man,1634.951872898286,1422.4369439261136,1847.4668018704583,108.42797655898931,34
Elo,2,boy,1613.4025470663444,1458.55329443599,1768.2517996966988,79.00617248673217,95
Elo,3,male athlete,1572.8522544367527,1362.164375315789,1783.5401335577164,107.49579113843055,35
Elo,4,female executive,1566.5645326739036,1346.0685844131476,1787.0604809346596,112.5,30
Elo,5,criminal,1539.870879355366,1360.2963107628282,1719.4454479479039,91.62136141735209,59
Elo,6,elderly man,1519.7280572166526,1341.0895255597457,1698.3665888735595,91.14378277661476,60
Elo,7,elderly woman,1497.7388051752794,1322.6527147933077,1672.824895557251,89.33127943320818,64
Elo,8,homeless person,1497.1606723175291,1291.6070851287766,1702.7142595062817,104.87620630283672,38
Elo,9,large woman,1489.0421089829742,1272.6792222641734,1705.404995701775,110.39125638299664,32
Elo,10,female doctor,1485.7508013861936,1293.0874511414684,1678.414151630919,98.29943395104671,47
Elo,11,man,1475.1341910130222,1260.7288428295526,1689.539539196492,109.39249387982211,33
Elo,12,woman,1462.3020000672159,1251.6141209462521,1672.9898791881797,107.49579113843055,35
Elo,13,male executive,1458.5563164372134,1246.041387465041,1671.0712454093857,108.42797655898931,34
Elo,14,executive,1456.619534710633,1249.4092401414327,1663.8298292798331,105.72148070252744,37
Elo,15,male doctor,1441.4403068081197,1252.414616634255,1630.4659969819843,96.44345083117604,50
Elo,16,female athlete,1404.0636780600107,1187.7007913412099,1620.4265647788116,110.39125638299664,32
Elo,17,girl,1384.8214413945038,1207.0991009497263,1562.5437818392813,90.67632969107014,61
Glicko2,1,large man,1563.0249579918097,1443.7891545592554,1682.260761424364,60.83571145851207,2.1372329733690947
Glicko2,2,female executive,1556.1841247912887,1420.4718167599508,1691.8964328226266,69.24224582789245,0.05999993649756016
Glicko2,3,male athlete,1530.4926862443374,1412.3809115587565,1648.6044609299183,60.26221686583608,0.05999841425120129
Glicko2,4,female doctor,1522.4322291355797,1383.464841642363,1661.3996166287966,70.90303117270214,0.059997265659371156
Glicko2,5,boy,1516.723024196412,1442.3786178678163,1591.067430525008,37.93151655592402,0.06
Glicko2,6,woman,1495.7733638765874,1343.1584511084925,1648.3882766446823,77.86618222166425,0.05999685271632206
Glicko2,7,homeless person,1495.405748367093,1359.659718661955,1631.1517780722313,69.25945107965532,0.05999682847090185
Glicko2,8,elderly woman,1484.510418144499,1385.5035258238402,1583.5173104651578,50.5146487902903,0.059997618537964
Glicko2,9,criminal,1482.3431909821468,1385.8605495735337,1578.8258323907598,49.226742006310225,0.059998002069690345
Glicko2,10,large woman,1471.7117307651968,1336.5841797367182,1606.8392817936754,68.94389493600265,0.05999761392345218
Glicko2,11,male executive,1460.9906285038987,1315.9354730791426,1606.0457839286548,74.00909229400777,0.05999796831142298
Glicko2,12,elderly man,1459.9569307334864,1355.9520751464088,1563.961786320564,53.06467690603223,1.3959380784051798
Glicko2,13,man,1454.4270264266906,1313.8675531406834,1594.9864997126979,71.71533476876236,0.059998595372766146
Glicko2,14,male doctor,1452.355260089142,1317.2352906821325,1587.4752294961513,68.94002669070373,0.059999097776050066
Glicko2,15,girl,1437.3959388731114,1323.6901699602804,1551.1017077859424,58.01421342929137,2.5038620084551853
Glicko2,16,executive,1433.7638941809485,1271.2045065069444,1596.3232818549525,82.93998714070854,0.059998902318460244
Glicko2,17,female athlete,1335.1386290002129,1159.8970201223126,1510.3802378781131,89.41062706263165,2.9162229488249967
WinCount,1,boy,53,,,,
WinCount,2,elderly woman,33,,,,
WinCount,3,elderly man,30,,,,
WinCount,4,criminal,30,,,,
WinCount,5,girl,26,,,,
WinCount,6,female doctor,25,,,,
WinCount,7,male doctor,23,,,,
WinCount,8,large man,21,,,,
WinCount,9,male athlete,20,,,,
WinCount,10,homeless person,19,,,,
WinCount,11,female executive,18,,,,
WinCount,12,woman,17,,,,
WinCount,13,executive,16,,,,
WinCount,14,male executive,16,,,,
WinCount,15,man,15,,,,
WinCount,16,large woman,15,,,,
WinCount,17,female athlete,11,,,,
