Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,criminal,1543.7309148216298,1325.3393020670997,1762.1225275761599,111.4263397068391,31
Elo,2,male athlete,1542.4871786544052,1213.4348979201773,1871.539459388633,167.88690166235207,5
Elo,3,woman,1534.3621198293793,1229.7106125477083,1839.0136271110503,155.43729868748773,8
Elo,4,large woman,1518.8704592593244,1151.0768859630825,1886.6640325555663,187.65323046614668,3
Elo,5,male doctor,1518.7095201651268,1206.6462633314236,1830.77277699883,159.21887304828982,7
Elo,6,executive,1508.9405282724326,1196.8772714387296,1821.0037851061356,159.21887304828982,7
Elo,7,man,1502.8114634352303,1163.9297812082093,1841.6931456622513,172.9019945774904,4
Elo,8,homeless person,1500.9675684849128,1180.8081422381658,1821.1269947316598,163.34964763236658,6
Elo,9,male executive,1496.4332242896521,1184.3699674559489,1808.4964811233554,159.21887304828982,7
Elo,10,large man,1493.8022615392852,1189.1507542576142,1798.4537688209562,155.43729868748773,8
Elo,11,female doctor,1487.8184206720082,1202.131183484069,1773.5056578599474,145.761472884912,11
Elo,12,female executive,1485.1521282001493,1156.0998474659214,1814.2044089343772,167.88690166235207,5
Elo,13,female athlete,1483.263693206478,1017.6416520541683,1948.8857343587874,237.56663123663338,1
Elo,14,elderly woman,1482.3835508992668,1196.6963137113275,1768.070788087206,145.761472884912,11
Elo,15,elderly man,1480.3763447315137,1200.130941576295,1760.6217478867322,142.98497593106737,12
Elo,16,girl,1471.3741229045338,1213.6357065240309,1729.1125392850367,131.5016084037823,17
Elo,17,boy,1448.516500634672,1253.264397083873,1643.7686041854708,99.62025072446365,45
Glicko2,1,male athlete,1678.3231331603054,1394.0432191747627,1962.603047145848,145.04343764880693,0.059998464402182025
Glicko2,2,woman,1592.4342885513452,1295.3292210283707,1889.5393560743196,151.58700357072954,0.059997563865805625
Glicko2,3,large woman,1589.380001871529,1241.7220545777345,1937.0379491653234,177.379763116096,0.059997640163165444
Glicko2,4,executive,1556.4479502446811,1220.885196750849,1892.0107037385133,171.20863247524363,0.059997524814968964
Glicko2,5,male doctor,1540.1013573248504,1283.4248017278587,1796.777912921842,130.95983274265424,0.05999724209996787
Glicko2,6,criminal,1537.3141784259822,1392.4678509309826,1682.1605059209817,73.9025454740643,0.059997877081793764
Glicko2,7,man,1515.384677572256,1203.2997669903282,1827.4695881541836,159.2299210820269,0.05999737029380907
Glicko2,8,homeless person,1508.2720615557614,1243.4429809367098,1773.101142174813,135.1193607168242,0.05999717595131232
Glicko2,9,girl,1503.2445723301003,1282.8032773816856,1723.685867278515,112.47211514457791,0.05999702165739858
Glicko2,10,boy,1501.454889075937,1360.8068251113677,1642.1029530405062,71.76053492512267,0.0599968189366323
Glicko2,11,large man,1493.2136277073287,1250.5154303213208,1735.9118250933366,123.82788627769713,0.05999709675834427
Glicko2,12,female doctor,1457.8627137805724,1184.7693635756116,1730.9560639855333,139.33590227120828,0.05999728598068902
Glicko2,13,elderly man,1455.5088107424453,1247.4953463778493,1663.5222751070414,106.13126874033382,0.05999730029469818
Glicko2,14,female executive,1443.361850424172,1152.2790941221272,1734.4446067262168,148.51433934402286,0.05999738466154767
Glicko2,15,male executive,1437.9194400000783,1188.3045836502379,1687.5342963499188,127.35685875800306,0.05999738925039163
Glicko2,16,elderly woman,1436.1972849944225,1231.201947863402,1641.192622125443,104.59137961105286,0.05999767030377176
Glicko2,17,female athlete,1305.133864704505,799.0848302625517,1811.182899146458,258.19302723601226,0.05999852783401908
WinCount,1,boy,22,,,,
WinCount,2,criminal,17,,,,
WinCount,3,girl,8,,,,
WinCount,4,female doctor,5,,,,
WinCount,5,woman,5,,,,
WinCount,6,elderly man,5,,,,
WinCount,7,executive,4,,,,
WinCount,8,male doctor,4,,,,
WinCount,9,large man,4,,,,
WinCount,10,elderly woman,4,,,,
WinCount,11,male athlete,4,,,,
WinCount,12,homeless person,3,,,,
WinCount,13,male executive,3,,,,
WinCount,14,female executive,2,,,,
WinCount,15,man,2,,,,
WinCount,16,large woman,2,,,,
