Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,large man,1687.2033842732358,1549.6436928280182,1824.7630757184534,70.1848057057532,140
Elo,2,male athlete,1625.671718779352,1488.1120273341344,1763.2314102245696,70.1848057057532,140
Elo,3,criminal,1574.261377809267,1438.1417919624305,1710.3809636561036,69.45004445006668,145
Elo,4,boy,1566.0477151293433,1426.974057745623,1705.1213725130635,70.95725150090288,135
Elo,5,female executive,1553.0152809778965,1416.89569513106,1689.134866824733,69.45004445006668,145
Elo,6,man,1543.2780422532187,1405.4216645771876,1681.1344199292498,70.33617901319849,139
Elo,7,large woman,1532.7993199998566,1394.9429423238255,1670.6556976758877,70.33617901319849,139
Elo,8,elderly woman,1492.8971727304636,1356.4951858634854,1629.2991595974418,69.59412925079224,144
Elo,9,female doctor,1458.8006317890101,1322.1134797687748,1595.4877838092455,69.73962434942995,143
Elo,10,girl,1447.2464918966182,1307.8606167387015,1586.6323670545348,71.11654921078886,134
Elo,11,male doctor,1442.3129009853226,1305.3377742903674,1579.2880276802778,69.88655290372549,142
Elo,12,woman,1436.8158579507447,1298.051205106437,1575.5805107950523,70.79959322664371,136
Elo,13,elderly man,1435.65486415475,1299.5352783079134,1571.7744500015865,69.45004445006668,145
Elo,14,male executive,1434.4525641504165,1295.3789067666962,1573.5262215341368,70.95725150090288,135
Elo,15,executive,1425.7539833332883,1287.8976056572571,1563.6103610093194,70.33617901319849,139
Elo,16,homeless person,1422.5336817447198,1285.5585550497647,1559.508808439675,69.88655290372549,142
Elo,17,female athlete,1421.2550120424964,1284.5678600222611,1557.9421640627318,69.73962434942995,143
Glicko2,1,large woman,1518.6347742426892,1454.7636582595026,1582.5058902258759,32.587902883417165,2.2797925224608933
Glicko2,2,large man,1513.0739838964762,1455.2352769718132,1570.9126908211392,29.51008660408422,1.647280878272892
Glicko2,3,male executive,1512.926283788496,1442.7112408418259,1583.141326735166,35.8246597899336,0.05999916355465082
Glicko2,4,executive,1511.0329548157933,1425.3814586484445,1596.6844509831421,43.70054595031173,0.059997527473945184
Glicko2,5,criminal,1508.675328462421,1447.5019394726114,1569.8487174522306,31.21148626828734,0.059998630071185166
Glicko2,6,female doctor,1507.7141317076669,1428.8541977253321,1586.5740656900016,40.235399529976995,0.05999726705230197
Glicko2,7,woman,1506.8190118514726,1430.4422745306838,1583.1957491722615,38.96843917706596,0.05999720407207325
Glicko2,8,female executive,1504.3788344185393,1444.3768025748032,1564.3808662622755,30.61384408949582,0.05999723344993028
Glicko2,9,elderly woman,1501.2618182892072,1437.4070269105378,1565.1166096678767,32.57957385051354,0.05999674063263301
Glicko2,10,boy,1500.8647128270588,1440.1911820350872,1561.5382436190305,30.956451889196305,0.05999672334607547
Glicko2,11,male doctor,1496.5809093402336,1419.6769215978782,1573.484897082589,39.23744943731837,0.05999683797715493
Glicko2,12,elderly man,1496.4952868298917,1430.2089586010984,1562.781615058685,33.82017667245491,0.05999693595866268
Glicko2,13,homeless person,1490.059832927567,1419.1997696363862,1560.9198962187477,36.15375784969306,0.05999810984977625
Glicko2,14,man,1488.2334285829677,1421.954148568231,1554.5127085977044,33.81658057879595,0.05999927271184501
Glicko2,15,girl,1481.9782017100524,1406.6550893582255,1557.3013140618793,38.43086553934976,0.6201100154644039
Glicko2,16,male athlete,1480.5067754739678,1421.5642850172196,1539.449265930716,30.0732518156859,3.1512320375507143
Glicko2,17,female athlete,1475.102551176815,1393.7014289701651,1556.503673383465,41.53194795860101,1.4732342374366565
WinCount,1,criminal,75,,,,
WinCount,2,female doctor,73,,,,
WinCount,3,large woman,73,,,,
WinCount,4,female executive,73,,,,
WinCount,5,large man,73,,,,
WinCount,6,elderly man,72,,,,
WinCount,7,elderly woman,72,,,,
WinCount,8,executive,71,,,,
WinCount,9,male doctor,70,,,,
WinCount,10,woman,69,,,,
WinCount,11,male executive,69,,,,
WinCount,12,man,69,,,,
WinCount,13,female athlete,68,,,,
WinCount,14,homeless person,68,,,,
WinCount,15,boy,67,,,,
WinCount,16,male athlete,66,,,,
WinCount,17,girl,65,,,,
