Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,male athlete,1644.2201073580338,1511.5391141918828,1776.9011005241848,67.69562819149832,158
Elo,2,criminal,1622.0508458920817,1488.8672542517425,1755.234437532421,67.95206069645889,156
Elo,3,man,1586.1602073099937,1452.2054439134372,1720.1149707065501,68.34552290408112,153
Elo,4,boy,1568.8522880463438,1433.0123834549104,1704.6921926377772,69.30734730991041,146
Elo,5,large man,1555.355094205208,1421.1385253689834,1689.5716630414324,68.4790995624959,152
Elo,6,female executive,1542.003855820678,1405.8842699738414,1678.1234416675145,69.45004445006668,145
Elo,7,girl,1506.6126255138934,1371.3240966873725,1641.9011543404142,69.02602797482992,148
Elo,8,male executive,1499.937761522446,1363.5357746554678,1636.3397483894241,69.59412925079224,144
Elo,9,large woman,1493.6438883606472,1360.4602967203082,1626.8274800009863,67.95206069645889,156
Elo,10,executive,1482.4345391846887,1348.2179703484642,1616.6511080209132,68.4790995624959,152
Elo,11,homeless person,1477.8718608239794,1343.655291987755,1612.088429660204,68.4790995624959,152
Elo,12,elderly man,1468.3429162675886,1335.6619231014377,1601.0239094337396,67.69562819149832,158
Elo,13,elderly woman,1428.7445046106193,1296.3114583407346,1561.177550880504,67.56912234842049,159
Elo,14,male doctor,1418.4085106549521,1284.7131544709364,1552.1038668389679,68.21316985341954,154
Elo,15,female doctor,1412.3954560521204,1279.9624097822357,1544.828502322005,67.56912234842049,159
Elo,16,female athlete,1408.7364576812129,1274.5198888449884,1542.9530265174374,68.4790995624959,152
Elo,17,woman,1384.2290806955134,1249.4815567583846,1518.9766046326422,68.75,150
Glicko2,1,homeless person,1584.8615672641997,1516.0663997292024,1653.656734799197,35.10022024774171,11.793060479317116
Glicko2,2,executive,1575.0776449814298,1492.5701044390594,1657.5851855238002,42.096457482473895,7.074465910541812
Glicko2,3,girl,1535.2634698081738,1463.9212900703446,1606.605649546003,36.39974014857787,4.156161984190271
Glicko2,4,man,1532.4470427553845,1468.421333705911,1596.472751804858,32.66677834618404,4.879132738997441
Glicko2,5,criminal,1528.0611238247864,1468.9236941817956,1587.1985534677772,30.172712411788847,4.957966994408019
Glicko2,6,male athlete,1504.7806283967063,1449.1722254513645,1560.3890313420482,28.372155500802005,0.05999755832961655
Glicko2,7,woman,1502.7488961948238,1429.8986296990845,1575.5991626905632,37.169186306673446,0.05999681053544981
Glicko2,8,female doctor,1501.2016052739104,1426.1399398118836,1576.2632707359373,38.29747181790265,0.05999673351051994
Glicko2,9,large man,1494.5008600458373,1438.8232541713944,1550.1784659202801,28.407463766487922,0.05999783030360419
Glicko2,10,male executive,1494.271505519261,1425.8728243903024,1562.6701866482194,34.897927547893055,0.05999724575451604
Glicko2,11,elderly man,1489.3648367914047,1425.282191376471,1553.4474822063385,32.695828046030144,0.05999910654601356
Glicko2,12,female executive,1487.6466394762535,1427.075526025668,1548.217752926839,30.904197183398587,0.9786191676855034
Glicko2,13,boy,1483.8058343713953,1424.7246156574427,1542.887053085348,30.144032839367394,2.3442933911052277
Glicko2,14,male doctor,1469.803991548682,1395.6014843269563,1544.0064987704077,37.859117722073215,3.04744642507032
Glicko2,15,large woman,1463.5981976549083,1403.2136775364147,1523.9827177734019,30.808994754392955,6.347679939236835
Glicko2,16,elderly woman,1461.1284364831276,1399.7933637358642,1522.463509230391,31.29397949710645,6.591947235505612
Glicko2,17,female athlete,1459.604097918019,1379.7326492321092,1539.475546603929,40.751487943618145,3.706986383277011
WinCount,1,homeless person,90,,,,
WinCount,2,executive,87,,,,
WinCount,3,criminal,84,,,,
WinCount,4,man,83,,,,
WinCount,5,girl,81,,,,
WinCount,6,male athlete,80,,,,
WinCount,7,female doctor,79,,,,
WinCount,8,elderly man,77,,,,
WinCount,9,woman,74,,,,
WinCount,10,large man,74,,,,
WinCount,11,male doctor,72,,,,
WinCount,12,elderly woman,70,,,,
WinCount,13,female executive,70,,,,
WinCount,14,female athlete,69,,,,
WinCount,15,male executive,69,,,,
WinCount,16,large woman,69,,,,
WinCount,17,boy,69,,,,
