Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,male executive,1608.808887835719,1354.8318483083283,1862.7859273631095,129.58250331675944,18
Elo,2,large man,1554.0650460815473,1262.5327772068524,1845.5973149562421,148.7436867076458,10
Elo,3,boy,1531.1578788118711,1306.2067250354623,1756.10903258828,114.77310580745097,28
Elo,4,female athlete,1530.4845790124004,1191.6028967853795,1869.3662612394214,172.9019945774904,4
Elo,5,female executive,1529.975700075409,1138.7451705926878,1921.20622955813,199.61108090184183,2
Elo,6,man,1529.5874829059367,1217.5242260722334,1841.65073973964,159.21887304828982,7
Elo,7,criminal,1528.1531813201555,1307.6572330593995,1748.6491295809114,112.5,30
Elo,8,woman,1509.2341392662192,1211.4012583281287,1807.0670202043098,151.95834376925205,9
Elo,9,male athlete,1507.5438275699255,1209.710946631835,1805.376708508016,151.95834376925205,9
Elo,10,elderly man,1503.323812014048,1265.5128962065594,1741.1347278215364,121.33432944855655,23
Elo,11,homeless person,1486.0899863226075,1200.4027491346683,1771.7772235105467,145.761472884912,11
Elo,12,large woman,1484.7311761116289,1019.1091349593192,1950.3532172639384,237.56663123663338,1
Elo,13,female doctor,1473.3285841788231,1235.5176683713346,1711.1394999863116,121.33432944855655,23
Elo,14,male doctor,1468.4380690229605,1224.631639958887,1712.244498087034,124.39332099323634,21
Elo,15,girl,1444.6691070767583,1153.1368382020635,1736.2013759514532,148.7436867076458,10
Elo,16,executive,1438.1581179945338,1187.746184163591,1688.5700518254766,127.7635384150731,19
Elo,17,elderly woman,1372.2504243994565,1149.569714830091,1594.931133968822,113.61469461982082,29
Glicko2,1,female executive,1676.7223867573316,1246.5074815344535,2106.93729198021,219.501434014277,0.0599981054350495
Glicko2,2,male executive,1581.0399575059291,1409.4289936353002,1752.650921376558,87.5582231226054,0.059999308738748515
Glicko2,3,female athlete,1568.1250138945963,1200.1263493350864,1936.1236784541063,187.75787078856368,0.05999767957514026
Glicko2,4,large man,1564.045634197237,1341.594731683228,1786.4965367112459,113.49744396768172,0.05999751516375625
Glicko2,5,man,1525.6650485055056,1254.1470192311199,1797.1830777798914,138.5321523334538,0.05999722898480031
Glicko2,6,elderly man,1504.4477553430606,1329.7526581688267,1679.1428525172946,89.13178943705425,0.05999689962068204
Glicko2,7,woman,1498.0562254004012,1219.7881893199801,1776.3242614808223,141.976096640226,0.05999722392274701
Glicko2,8,boy,1486.7643660325768,1315.329693661533,1658.1990384036208,87.46827682717584,0.05999694981788199
Glicko2,9,criminal,1469.3110790333765,1332.8562595818435,1605.7658984849095,69.62108514639614,0.05999772144922768
Glicko2,10,male athlete,1467.3362953268863,1234.5325909336846,1700.139999720088,118.77958280332076,0.059997163447453795
Glicko2,11,female doctor,1449.7371806447675,1255.8851951573038,1643.5891661322312,98.90589164726671,0.05999749429609056
Glicko2,12,homeless person,1424.8560787274744,1210.2993771690938,1639.412780285855,109.46971640845261,0.05999779216698896
Glicko2,13,male doctor,1407.3899792434981,1203.728343942822,1611.0516145441743,103.91090698968615,0.0599984798519725
Glicko2,14,executive,1325.0927865848307,1101.836086309214,1548.3494868604475,113.90857282921384,0.9768349198145083
Glicko2,15,large woman,1318.458089899285,825.9547564884275,1810.9614233101424,251.281828286469,0.05999843650438655
Glicko2,16,girl,1287.613191953057,1026.8541676978043,1548.3722162083095,133.0427631895721,0.05999975842231262
Glicko2,17,elderly woman,1278.8509111010742,1107.2363285088936,1450.4654936932548,87.56006944303802,4.559973205987095
