Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,girl,1570.1467582916025,1278.6144894169076,1861.6790271662974,148.7436867076458,10
Elo,2,male doctor,1557.956868048554,1317.2184626839255,1798.6952734131826,122.82797401561581,22
Elo,3,homeless person,1545.1938054947545,1233.1305486610513,1857.2570623284578,159.21887304828982,7
Elo,4,male executive,1516.921974832023,1259.1835584515197,1774.660391212526,131.5016084037823,17
Elo,5,female athlete,1515.7544176774936,1050.132376525184,1981.3764588298031,237.56663123663338,1
Elo,6,large man,1511.6661070356158,1236.5036609282895,1786.8285531429422,140.39158284426273,13
Elo,7,criminal,1505.7512033699977,1278.4381713729144,1733.064235367081,115.97816785925636,27
Elo,8,elderly woman,1501.1746950210966,1271.4020443187646,1730.9473457234285,117.23309842157774,26
Elo,9,female executive,1500.108403310737,1111.4000685183746,1888.8167381030994,198.324223229837,2
Elo,10,man,1495.0222666410218,1190.3707593593508,1799.6737739226928,155.43729868748773,8
Elo,11,large woman,1484.6987380784003,1115.9545623150243,1853.4429138417763,188.1382406370642,3
Elo,12,executive,1478.8658088852271,1238.1274035205986,1719.6042142498557,122.82797401561581,22
Elo,13,woman,1471.9572665826092,1151.7978403358622,1792.1166928293562,163.34964763236658,6
Elo,14,male athlete,1470.8011782074334,1166.1496709257624,1775.4526854891044,155.43729868748773,8
Elo,15,boy,1460.164226972033,1239.668278711277,1680.660175232789,112.5,30
Elo,16,female doctor,1457.7328330126056,1213.9264039485322,1701.539262076679,124.39332099323634,21
Elo,17,elderly man,1456.083448538795,1228.7704165417117,1683.3964805358783,115.97816785925636,27
Glicko2,1,girl,1689.9314916226367,1432.3792398368832,1947.4837434083902,131.4066247223381,0.059999349320273614
Glicko2,2,female athlete,1644.1998677718937,1144.9879815727925,2143.4117539709946,254.70462219552033,0.05999846248287107
Glicko2,3,homeless person,1612.3966117979992,1360.8553164405876,1863.9379071554108,128.33975386361038,0.05999798496215494
Glicko2,4,male doctor,1575.0239867848593,1379.669028183015,1770.3789453867037,99.6727287556197,0.05999813523788961
Glicko2,5,large man,1530.262232195169,1338.677753555311,1721.846710835027,97.74897913994941,0.05999714693998201
Glicko2,6,male executive,1502.8195545352387,1335.4471419367746,1670.1919671337027,85.39565722568179,0.059996878451908014
Glicko2,7,elderly woman,1489.7506922510333,1319.976963678887,1659.5244208231798,86.62084094978269,0.05999692147933538
Glicko2,8,man,1487.571255245783,1243.273473506118,1731.869036985448,124.64401574041905,0.059997110596142045
Glicko2,9,female executive,1481.915991471885,1079.5786443397906,1884.2533386039795,205.2779287301604,0.059997821340438164
Glicko2,10,criminal,1480.8903179878935,1341.4869603906177,1620.2936755851692,71.12546898660975,0.05999713831980838
Glicko2,11,elderly man,1471.3318591197722,1304.8821552833906,1637.7815629561537,84.92487879844509,0.05999721837520214
Glicko2,12,boy,1466.381627167468,1309.6773322399285,1623.0859220950074,79.95264002992043,0.059997463980492785
Glicko2,13,executive,1457.0829103851402,1250.1880058406666,1663.9778149296137,105.56056446773219,0.05999728204846143
Glicko2,14,female doctor,1429.9117821841776,1234.4889292603825,1625.3346351079726,99.70736935232767,0.05999798262040845
Glicko2,15,male athlete,1412.6403197121722,1175.5336480592575,1649.7469913650868,120.97501460393246,0.059997756022986536
Glicko2,16,large woman,1377.2141080427798,1024.307580128584,1730.1206359569755,180.05765957837872,0.05999774756332052
Glicko2,17,woman,1332.0842240950071,1012.4290522306919,1651.7393959593223,163.09237026073666,0.059998001318657
WinCount,1,boy,14,,,,
WinCount,2,male doctor,13,,,,
WinCount,3,elderly woman,13,,,,
WinCount,4,criminal,13,,,,
WinCount,5,elderly man,12,,,,
WinCount,6,executive,10,,,,
WinCount,7,female doctor,9,,,,
WinCount,8,male executive,9,,,,
WinCount,9,girl,8,,,,
WinCount,10,large man,7,,,,
WinCount,11,homeless person,5,,,,
WinCount,12,man,4,,,,
WinCount,13,male athlete,3,,,,
WinCount,14,woman,2,,,,
WinCount,15,female athlete,1,,,,
WinCount,16,large woman,1,,,,
WinCount,17,female executive,1,,,,
