Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,female athlete,1657.8011700663708,1524.6175784260317,1790.9847617067098,67.95206069645889,156
Elo,2,boy,1614.9442233186762,1481.2488671346605,1748.639579502692,68.21316985341954,154
Elo,3,large man,1606.9032612916599,1470.7836754448233,1743.0228471384964,69.45004445006668,145
Elo,4,male athlete,1590.5901851707677,1455.8426612336389,1725.3377091078964,68.75,150
Elo,5,female executive,1546.06678839704,1412.1120250004838,1680.0215517935962,68.34552290408112,153
Elo,6,elderly woman,1540.2117376518202,1406.7734268453287,1673.6500484583116,68.08202184276645,155
Elo,7,woman,1540.0194711505262,1406.0647077539697,1673.9742345470827,68.34552290408112,153
Elo,8,large woman,1529.3899992520953,1393.2704134052588,1665.509585098932,69.45004445006668,145
Elo,9,girl,1513.603735737775,1379.6489723412187,1647.5584991343312,68.34552290408112,153
Elo,10,criminal,1483.682200695152,1347.8422961037186,1619.5221052865854,69.30734730991041,146
Elo,11,elderly man,1477.649145704377,1343.6943823078204,1611.6039091009334,68.34552290408112,153
Elo,12,man,1447.9985592876465,1312.4356595645652,1583.5614590107277,69.16601569844352,147
Elo,13,female doctor,1419.2507419031617,1285.2959785066055,1553.205505299718,68.34552290408112,153
Elo,14,male executive,1392.6876913537444,1257.1247916306631,1528.2505910768257,69.16601569844352,147
Elo,15,male doctor,1390.6881186064081,1256.207308921365,1525.1689282914513,68.61391879943234,151
Elo,16,homeless person,1379.366529997575,1246.9334837276904,1511.7995762674598,67.56912234842049,159
Elo,17,executive,1369.1464404152043,1232.7444535482261,1505.5484272821825,69.59412925079224,144
Glicko2,1,female doctor,1595.5462993116614,1518.2481722919417,1672.844426331381,39.438544600532204,10.476895686486792
Glicko2,2,female athlete,1585.9194548242358,1506.8502592655418,1664.9886503829298,40.34216760225275,8.9439518631773
Glicko2,3,girl,1580.585916316921,1509.755548315971,1651.4162843178708,36.138606913009994,10.52605246580072
Glicko2,4,large woman,1539.9946730934694,1477.0902373619472,1602.8991088249916,32.09468961047469,6.434377576839053
Glicko2,5,elderly woman,1535.6885333392368,1473.349004147204,1598.0280625312696,31.8064666921225,5.784774360722444
Glicko2,6,male doctor,1525.018234012057,1449.7324130621778,1600.3040549619363,38.411838964248496,2.1372887133329423
Glicko2,7,woman,1519.6789377486227,1446.9606571710192,1592.3972183262263,37.101845315115966,1.436066953135828
Glicko2,8,boy,1512.6053009620764,1454.8943976528853,1570.3162042712675,29.444879479626778,1.5135797294662368
Glicko2,9,female executive,1510.0930148973066,1451.0548733443063,1569.131156450307,30.12205429216333,0.05999971072516871
Glicko2,10,male athlete,1506.5622195732171,1449.251374654178,1563.8730644922562,29.240764305415638,0.05999813410664563
Glicko2,11,elderly man,1499.2089814639992,1433.5447448595605,1564.8732180684378,33.50277715426903,0.059996720046733676
Glicko2,12,man,1493.851297947679,1428.5549349594785,1559.1476609358797,33.31508308481684,0.05999745133577074
Glicko2,13,large man,1469.4950369434619,1411.9788529734017,1527.011220913522,29.345531052478766,5.8119920464101895
Glicko2,14,male executive,1462.2103896010133,1393.1664226453556,1531.254356556671,35.22716106023767,4.887166532562701
Glicko2,15,criminal,1453.9231623266573,1392.468630242234,1515.3776944110807,31.354929258480663,7.886411902211118
Glicko2,16,homeless person,1427.520364601184,1359.7663330622972,1495.2743961400706,34.56901865203737,10.339911175999278
Glicko2,17,executive,1413.536336554223,1328.7626915948301,1498.3099815136159,43.25265445083505,7.767936742987702
WinCount,1,female athlete,95,,,,
WinCount,2,female doctor,93,,,,
WinCount,3,girl,89,,,,
WinCount,4,elderly woman,82,,,,
WinCount,5,woman,80,,,,
WinCount,6,male doctor,78,,,,
WinCount,7,boy,78,,,,
WinCount,8,large woman,77,,,,
WinCount,9,female executive,76,,,,
WinCount,10,elderly man,75,,,,
WinCount,11,male athlete,74,,,,
WinCount,12,man,71,,,,
WinCount,13,homeless person,64,,,,
WinCount,14,male executive,64,,,,
WinCount,15,large man,64,,,,
WinCount,16,criminal,62,,,,
WinCount,17,executive,60,,,,
