Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,homeless person,1537.9559536180511,1396.6260544328595,1679.2858528032427,72.10841643008948,128
Elo,2,elderly woman,1537.0918680657758,1395.7619688805842,1678.4217672509674,72.10841643008948,128
Elo,3,elderly man,1529.8801363800542,1388.5502371948626,1671.2100355652458,72.10841643008948,128
Elo,4,executive,1520.4440823388545,1379.114183153663,1661.7739815240461,72.10841643008948,128
Elo,5,female doctor,1519.9099470258047,1378.5800478406131,1661.2398462109963,72.10841643008948,128
Elo,6,female executive,1516.1449018039723,1374.8150026187807,1657.474800989164,72.10841643008948,128
Elo,7,girl,1505.0298048849952,1363.6999056998036,1646.3597040701868,72.10841643008948,128
Elo,8,criminal,1503.296594387716,1359.8915866772209,1646.701602098211,73.16716472427828,122
Elo,9,boy,1501.2807923295559,1359.9508931443643,1642.6106915147475,72.10841643008948,128
Elo,10,man,1498.643795546853,1356.6374712045872,1640.6501198891187,72.45353764783104,126
Elo,11,large woman,1491.6781840784,1349.6718597361341,1633.6845084206657,72.45353764783104,126
Elo,12,large man,1486.9435947395825,1345.613695554391,1628.2734939247741,72.10841643008948,128
Elo,13,male executive,1483.1035758161465,1341.4373155914086,1624.7698360408845,72.28003235885117,127
Elo,14,female athlete,1473.0419695537569,1331.7120703685653,1614.3718687389485,72.10841643008948,128
Elo,15,woman,1471.9325891129085,1330.602689927717,1613.2624882981002,72.10841643008948,128
Elo,16,male doctor,1468.3225240297893,1326.9926248445977,1609.652423214981,72.10841643008948,128
Elo,17,male athlete,1455.2996862877824,1313.6334260630445,1596.9659465125203,72.28003235885117,127
Glicko2,1,male athlete,1524.9809771128917,1463.0103210952952,1586.951633130488,31.61826263462644,3.840674963436508
Glicko2,2,female doctor,1522.203937856664,1438.7840972294227,1605.6237784839052,42.56192526252846,0.643197401867068
Glicko2,3,woman,1520.955361457464,1442.3045001862545,1599.6062227286736,40.128727819285174,0.9986160604358231
Glicko2,4,man,1516.7469556751546,1447.0715006072348,1586.4224107430744,35.54935479300179,1.0945338179050799
Glicko2,5,female athlete,1514.4299492798116,1428.2758303339301,1600.584068225693,43.956990855676025,0.059998063170003064
Glicko2,6,homeless person,1509.968027420876,1435.543080524557,1584.3929743171952,37.97260943740475,0.05999786836658672
Glicko2,7,elderly man,1502.0115216261406,1431.140493588615,1572.8825496636662,36.159352210830036,0.059996770192288634
Glicko2,8,girl,1501.4752733020823,1425.0629662181466,1577.887580386018,38.9865873488831,0.05999674145874067
Glicko2,9,boy,1501.2756798004282,1438.6329874026305,1563.9183721982258,31.961144639348024,0.05999674312385876
Glicko2,10,criminal,1500.280494640184,1433.5668053749823,1566.9941839053859,34.038222024195804,0.05999671041410137
Glicko2,11,male executive,1497.3162372482013,1424.5458791715444,1570.0865953248583,37.12841595593611,0.05999680638641715
Glicko2,12,large man,1493.6859344668826,1433.2139313234472,1554.157937610318,30.8536297709707,0.05999777219880363
Glicko2,13,elderly woman,1492.0389423618024,1424.2596544880237,1559.818230235581,34.58190477397191,0.05999778228319338
Glicko2,14,large woman,1482.764044949453,1415.9843672868058,1549.5437226121,34.07189019257325,1.598243147294854
Glicko2,15,female executive,1470.8984303862915,1406.8628420200241,1534.9340187525588,32.67181890655737,4.281968255672266
Glicko2,16,executive,1467.8612059347788,1378.3413331923516,1557.381078677206,45.67424373536883,1.74166249928104
Glicko2,17,male doctor,1460.8030604765588,1379.5523767814561,1542.0537441716615,41.45519220556993,3.4033467433187816
WinCount,1,male athlete,68,,,,
WinCount,2,female doctor,67,,,,
WinCount,3,woman,67,,,,
WinCount,4,female athlete,66,,,,
WinCount,5,homeless person,66,,,,
WinCount,6,man,66,,,,
WinCount,7,boy,65,,,,
WinCount,8,girl,64,,,,
WinCount,9,male executive,64,,,,
WinCount,10,elderly man,64,,,,
WinCount,11,elderly woman,63,,,,
WinCount,12,large man,63,,,,
WinCount,13,criminal,61,,,,
WinCount,14,executive,60,,,,
WinCount,15,large woman,60,,,,
WinCount,16,female executive,60,,,,
WinCount,17,male doctor,58,,,,
