Model,Rank,Player,Rating,Lower_Bound,Upper_Bound,Std_Error,Games
Elo,1,large man,1576.3210588996678,1434.65479867493,1717.9873191244058,72.28003235885117,127
Elo,2,male executive,1544.5941387800733,1402.9278785553354,1686.2603990048112,72.28003235885117,127
Elo,3,boy,1528.3165621612397,1386.9866629760481,1669.6464613464314,72.10841643008948,128
Elo,4,female athlete,1527.5159356862985,1386.1860365011069,1668.84583487149,72.10841643008948,128
Elo,5,male doctor,1524.812352824541,1383.4824536393494,1666.1422520097326,72.10841643008948,128
Elo,6,large woman,1509.6055198226913,1367.9392595979534,1651.2717800474293,72.28003235885117,127
Elo,7,woman,1498.7443573708586,1357.414458185667,1640.0742565560502,72.10841643008948,128
Elo,8,female doctor,1496.9038002345608,1355.5739010493692,1638.2336994197524,72.10841643008948,128
Elo,9,female executive,1495.9940893864464,1354.6641902012548,1637.323988571638,72.10841643008948,128
Elo,10,man,1495.2216598176567,1353.891760632465,1636.5515590028483,72.10841643008948,128
Elo,11,elderly woman,1486.3685435907844,1345.0386444055928,1627.698442775976,72.10841643008948,128
Elo,12,male athlete,1481.5293853895678,1339.8631251648299,1623.1956456143057,72.28003235885117,127
Elo,13,executive,1474.6131855596434,1333.2832863744518,1615.943084744835,72.10841643008948,128
Elo,14,criminal,1474.1088957358938,1331.4110583428767,1616.806733128911,72.80635691196339,124
Elo,15,girl,1468.0351448301246,1326.705245644933,1609.3650440153162,72.10841643008948,128
Elo,16,homeless person,1465.1147565227163,1323.7848573375247,1606.444655707908,72.10841643008948,128
Elo,17,elderly man,1452.2006133872362,1310.8707142020446,1593.5305125724278,72.10841643008948,128
Glicko2,1,large man,1535.2390343493257,1474.28665712888,1596.1914115697714,31.098723089419067,5.9978144168657135
Glicko2,2,male executive,1533.9606941099871,1460.8743774447141,1607.04701077526,37.2896222796789,3.727634154449087
Glicko2,3,girl,1514.915870958923,1438.5355890598983,1591.2961528579478,38.97024766858103,0.0599990405929286
Glicko2,4,criminal,1512.2375317299025,1446.2929110259138,1578.1821524338911,33.645832894967164,0.05999953906023316
Glicko2,5,large woman,1511.9696801164594,1445.4277624758306,1578.511597757088,33.95058182982075,0.05999932021283286
Glicko2,6,male doctor,1509.3047783120062,1428.4409279970675,1590.1686286269448,41.25782460942261,0.059997440714366516
Glicko2,7,female executive,1504.64914524021,1440.8181051005654,1568.4801853798544,32.567455648744364,0.059997172280955635
Glicko2,8,female athlete,1501.403436482343,1415.1920031538352,1587.614869810851,43.98623342496734,0.059996742602098634
Glicko2,9,woman,1500.6089341448253,1422.0792916553553,1579.1385766342953,40.06688036560972,0.059996724557545414
Glicko2,10,boy,1491.2220493001316,1428.5724201215262,1553.871678478737,31.964683878264,0.05999849639412141
Glicko2,11,man,1488.7720377446976,1419.4692516222906,1558.0748238671047,35.359214082023186,0.05999866121969433
Glicko2,12,elderly woman,1488.1573593923392,1420.3518905647252,1555.9628282199533,34.59526264893381,0.05999907924679738
Glicko2,13,female doctor,1483.9039015329383,1400.49668075486,1567.3111223110166,42.55548644566117,0.05999861893448049
Glicko2,14,elderly man,1482.0580067904505,1411.0568994618138,1553.059114119087,36.225720415622135,1.240154735369149
Glicko2,15,homeless person,1471.5446706565049,1396.8581546135842,1546.2311866994255,38.10606553591719,2.735185882669981
Glicko2,16,male athlete,1455.378632314855,1393.3627578688124,1517.3945067608975,31.641333685320646,7.473477048088056
Glicko2,17,executive,1451.5282077847874,1361.7639225456624,1541.2924930239124,45.79894628022462,3.462147576062729
WinCount,1,large man,71,,,,
WinCount,2,male executive,70,,,,
WinCount,3,male doctor,66,,,,
WinCount,4,girl,66,,,,
WinCount,5,large woman,66,,,,
WinCount,6,female athlete,65,,,,
WinCount,7,woman,65,,,,
WinCount,8,female executive,65,,,,
WinCount,9,criminal,64,,,,
WinCount,10,man,63,,,,
WinCount,11,boy,63,,,,
WinCount,12,female doctor,62,,,,
WinCount,13,elderly woman,62,,,,
WinCount,14,homeless person,61,,,,
WinCount,15,elderly man,61,,,,
WinCount,16,executive,58,,,,
WinCount,17,male athlete,56,,,,
