character1,character2,result
Character_1,Character_2,0
Character_1,Character_2,0
Character_1,Character_2,0
Character_1,Character_2,0
Character_1,Character_2,1
Character_1,Character_3,1
Character_1,Character_3,0
Character_1,Character_3,1
Character_1,Character_3,1
Character_1,Character_3,1
Character_1,Character_4,1
Character_1,Character_4,0
Character_1,Character_4,1
Character_1,Character_4,0
Character_1,Character_4,1
Character_1,Character_5,0
Character_1,Character_5,0
Character_1,Character_5,1
Character_1,Character_5,1
Character_1,Character_5,0
Character_1,Character_6,0
Character_1,Character_6,0
Character_1,Character_6,0
Character_1,Character_6,0
Character_1,Character_6,0
Character_1,Character_7,0
Character_1,Character_7,1
Character_1,Character_7,0
Character_1,Character_7,0
Character_1,Character_7,0
Character_1,Character_8,0
Character_1,Character_8,0
Character_1,Character_8,0
Character_1,Character_8,0
Character_1,Character_8,0
Character_1,Character_9,0
Character_1,Character_9,1
Character_1,Character_9,0
Character_1,Character_9,1
Character_1,Character_9,1
Character_1,Character_10,1
Character_1,Character_10,0
Character_1,Character_10,0
Character_1,Character_10,1
Character_1,Character_10,1
Character_2,Character_3,0
Character_2,Character_3,1
Character_2,Character_3,0
Character_2,Character_3,0
Character_2,Character_3,1
Character_2,Character_4,1
Character_2,Character_4,0
Character_2,Character_4,1
Character_2,Character_4,0
Character_2,Character_4,0
Character_2,Character_5,0
Character_2,Character_5,0
Character_2,Character_5,0
Character_2,Character_5,0
Character_2,Character_5,0
Character_2,Character_6,1
Character_2,Character_6,1
Character_2,Character_6,1
Character_2,Character_6,0
Character_2,Character_6,1
Character_2,Character_7,1
Character_2,Character_7,1
Character_2,Character_7,1
Character_2,Character_7,1
Character_2,Character_7,1
Character_2,Character_8,0
Character_2,Character_8,0
Character_2,Character_8,1
Character_2,Character_8,1
Character_2,Character_8,0
Character_2,Character_9,0
Character_2,Character_9,1
Character_2,Character_9,0
Character_2,Character_9,1
Character_2,Character_9,0
Character_2,Character_10,0
Character_2,Character_10,1
Character_2,Character_10,0
Character_2,Character_10,0
Character_2,Character_10,1
Character_3,Character_4,0
Character_3,Character_4,0
Character_3,Character_4,0
Character_3,Character_4,0
Character_3,Character_4,0
Character_3,Character_5,1
Character_3,Character_5,1
Character_3,Character_5,1
Character_3,Character_5,0
Character_3,Character_5,1
Character_3,Character_6,0
Character_3,Character_6,1
Character_3,Character_6,0
Character_3,Character_6,0
Character_3,Character_6,0
Character_3,Character_7,1
Character_3,Character_7,0
Character_3,Character_7,0
Character_3,Character_7,0
Character_3,Character_7,0
Character_3,Character_8,1
Character_3,Character_8,1
Character_3,Character_8,0
Character_3,Character_8,1
Character_3,Character_8,0
Character_3,Character_9,0
Character_3,Character_9,1
Character_3,Character_9,1
Character_3,Character_9,0
Character_3,Character_9,1
Character_3,Character_10,0
Character_3,Character_10,1
Character_3,Character_10,1
Character_3,Character_10,1
Character_3,Character_10,0
Character_4,Character_5,0
Character_4,Character_5,1
Character_4,Character_5,1
Character_4,Character_5,0
Character_4,Character_5,1
Character_4,Character_6,0
Character_4,Character_6,0
Character_4,Character_6,1
Character_4,Character_6,1
Character_4,Character_6,1
Character_4,Character_7,1
Character_4,Character_7,1
Character_4,Character_7,1
Character_4,Character_7,1
Character_4,Character_7,1
Character_4,Character_8,0
Character_4,Character_8,0
Character_4,Character_8,0
Character_4,Character_8,0
Character_4,Character_8,0
Character_4,Character_9,0
Character_4,Character_9,0
Character_4,Character_9,1
Character_4,Character_9,0
Character_4,Character_9,0
Character_4,Character_10,1
Character_4,Character_10,1
Character_4,Character_10,0
Character_4,Character_10,1
Character_4,Character_10,0
Character_5,Character_6,1
Character_5,Character_6,1
Character_5,Character_6,1
Character_5,Character_6,1
Character_5,Character_6,1
Character_5,Character_7,0
Character_5,Character_7,0
Character_5,Character_7,0
Character_5,Character_7,0
Character_5,Character_7,0
Character_5,Character_8,1
Character_5,Character_8,1
Character_5,Character_8,0
Character_5,Character_8,1
Character_5,Character_8,0
Character_5,Character_9,0
Character_5,Character_9,0
Character_5,Character_9,0
Character_5,Character_9,0
Character_5,Character_9,0
Character_5,Character_10,0
Character_5,Character_10,1
Character_5,Character_10,1
Character_5,Character_10,0
Character_5,Character_10,1
Character_6,Character_7,1
Character_6,Character_7,1
Character_6,Character_7,1
Character_6,Character_7,1
Character_6,Character_7,0
Character_6,Character_8,0
Character_6,Character_8,1
Character_6,Character_8,0
Character_6,Character_8,0
Character_6,Character_8,1
Character_6,Character_9,1
Character_6,Character_9,0
Character_6,Character_9,1
Character_6,Character_9,0
Character_6,Character_9,1
Character_6,Character_10,0
Character_6,Character_10,0
Character_6,Character_10,0
Character_6,Character_10,0
Character_6,Character_10,0
Character_7,Character_8,0
Character_7,Character_8,0
Character_7,Character_8,0
Character_7,Character_8,0
Character_7,Character_8,0
Character_7,Character_9,1
Character_7,Character_9,1
Character_7,Character_9,1
Character_7,Character_9,1
Character_7,Character_9,0
Character_7,Character_10,0
Character_7,Character_10,0
Character_7,Character_10,1
Character_7,Character_10,1
Character_7,Character_10,1
Character_8,Character_9,0
Character_8,Character_9,0
Character_8,Character_9,0
Character_8,Character_9,1
Character_8,Character_9,1
Character_8,Character_10,0
Character_8,Character_10,0
Character_8,Character_10,0
Character_8,Character_10,1
Character_8,Character_10,0
Character_9,Character_10,1
Character_9,Character_10,1
Character_9,Character_10,1
Character_9,Character_10,0
Character_9,Character_10,1
