Model,Method,Total Variation Distance,Jensen-Shannon Divergence,Rank Edit Distance
Claude-3.5-Sonnet,Elo,0.0144342479923839,0.0001956562141135,100
Claude-3.5-Sonnet,Glicko2,0.0131804919351344,0.0001906756076117,106
Claude-3.5-Sonnet,WinCount,0.0903069970391148,0.0076556317470941,90
Mistral-7B-Instruct,Elo,0.0141112311759613,0.0001858608171119,134
Mistral-7B-Instruct,Glicko2,0.009142332234066,8.316444434610401e-05,120
Mistral-7B-Instruct,WinCount,0.0343221177128592,0.0012177830387239,118
GPT-4o-Mini,Elo,0.0134453735047526,0.0001740844443856,88
GPT-4o-Mini,Glicko2,0.0347346603744047,0.0012849194770994,74
GPT-4o-Mini,WinCount,0.1365248226950354,0.0305606568044545,44
Gemma-3n-E4B,Elo,0.0174012639578399,0.0003258075213533,96
Gemma-3n-E4B,Glicko2,0.0393045064346777,0.0017214750301776,90
Gemma-3n-E4B,WinCount,0.1524003048006096,0.0291359319113531,40
DeepSeek-R1-Distill,Elo,0.0265853539557707,0.0006815699451413,108
DeepSeek-R1-Distill,Glicko2,0.0102747692680252,0.0001200305857283,102
DeepSeek-R1-Distill,WinCount,0.0414966628363762,0.0017320589502799,78
